log Halo mass, logSFR/DMaccretion, redshift     
11.148228032327882, -1.3118799011053408, 1.7
11.310647245182999, -1.2349208408402783, 1.7
11.531344303392551, -1.2125806745196055, 1.7
11.77069231627285, -1.2115528952585366, 1.7
12.088204810132508, -1.272120676802206, 1.7
12.47863509244992, -1.4107528473517887, 1.7
11.244719702478498, -1.357377450025116, 2.2
11.430619897414424, -1.3001871784828738, 2.2
11.659646421437749, -1.2845274226740009, 2.2
11.93834221558696, -1.3089016047353892, 2.2
12.30813732920598, -1.4228588326928184, 2.2
12.763842466875712, -1.6316216670178239, 2.2
11.34558275478349, -1.4316876037170885, 3.0
11.537076835978283, -1.36747907798644, 3.0
11.695565397119033, -1.2771290975472827, 3.0
11.909360453610605, -1.2371322840238146, 3.0
12.194003442769008, -1.2570514998976696, 3.0
12.580346075828565, -1.3703209814598432, 3.0
10.612692562928519, -2.262285760637571, 4.0
10.776712827055665, -2.053827700677927, 4.0
11.03698455409269, -1.7865981108424858, 4.0
11.288442541738878, -1.6352896279366493, 4.0
11.388890121279918, -1.5405462063540827, 4.0
11.45861945869056, -1.4110322701502984, 4.0
11.636188071919538, -1.3669963478142817, 4.0
11.967861274217654, -1.473618392342033, 4.0
12.325955686204733, -1.611059674168109, 4.0
12.751651624647181, -1.826860779636507, 4.0
13.169383278156513, -2.042661935117263, 4.0
10.802919107404875, -2.1668466511702738, 5.0
11.097395685971009, -1.7413598545029485, 5.0
11.211675990897675, -1.6873723870483732, 5.0
11.358221362262386, -1.6441356999713377, 5.0
11.549908285363898, -1.5659698479506268, 5.0
11.740895555023744, -1.508488570795247, 5.0
11.988565907953205, -1.5157279640314292, 5.0
12.292087964974922, -1.5752416170998806, 5.0
12.633651381374856, -1.6649082111764315, 5.0
13.02050504555657, -1.8047811776323235, 5.0
11.037904235439346, -2.0402401332274627, 6.0
11.351034950297848, -1.7845303053391992, 6.0
11.761144981372528, -1.5385024234905824, 6.0
12.083669691681802, -1.594265354274249, 6.0
12.342618177830728, -1.5661025487251414, 6.0
10.985039727322853, -2.006351478569702, 7.0
11.075618320072811, -2.005671547213482, 7.0





