# mhalo_obs[Msun]   sigma_raw  sigma_fit  alphaE/alphaM  vir_temp[K]  cgm_temp[K]
4.641588834e+10 1.515483278e-02 5.590407404e-03 2.782559402e-02 9.721818573e+04 2.437414420e+04
4.641588834e+10 1.616449770e-02 5.895965689e-03 1.000000000e-02 9.721818573e+04 2.437414420e+04
1.000000000e+11 2.111773918e-02 1.010568701e-02 1.000000000e+02 1.684999016e+05 1.352588049e+06
1.000000000e+11 2.075836482e-02 7.700956640e-03 3.593813664e+01 1.684999016e+05 1.352588049e+06
1.000000000e+11 1.974494226e-02 5.152381345e-03 1.291549665e+01 1.684998995e+05 3.621521320e+06
1.000000000e+11 1.986527760e-02 4.513621687e-03 4.641588834e+00 1.684998995e+05 3.621521320e+06
1.000000000e+11 1.847223953e-02 5.687693061e-03 1.668100537e+00 1.684998995e+05 1.824871307e+06
1.000000000e+11 1.707792885e-02 5.279546775e-03 5.994842503e-01 1.684998995e+05 1.824871307e+06
1.000000000e+11 1.587277346e-02 4.791680579e-03 2.154434690e-01 1.684998973e+05 7.930375523e+05
1.000000000e+11 1.497326634e-02 5.269433122e-03 7.742636827e-02 1.684998973e+05 7.930375523e+05
1.000000000e+11 1.465759793e-02 5.547036220e-03 2.782559402e-02 1.684998931e+05 6.039019182e+05
1.000000000e+11 1.500291767e-02 5.729436539e-03 1.000000000e-02 1.684998931e+05 6.039019182e+05
2.154434690e+11 2.084853917e-02 7.742343990e-03 1.000000000e+02 1.684998929e+05 2.959519061e+05
2.154434690e+11 2.064188991e-02 6.934610584e-03 3.593813664e+01 1.684998929e+05 2.959519061e+05
2.154434690e+11 1.998427153e-02 1.818943003e-03 1.291549665e+01 1.684998928e+05 1.362612805e+05
2.154434690e+11 1.993370633e-02 3.458822454e-03 4.641588834e+00 1.684998928e+05 1.362612805e+05
2.154434690e+11 1.894473336e-02 5.610130577e-03 1.668100537e+00 1.684998927e+05 7.495772247e+04
2.154434690e+11 1.768433949e-02 5.724132716e-03 5.994842503e-01 1.684998927e+05 7.495772247e+04
2.154434690e+11 1.628575121e-02 5.076938669e-03 2.154434690e-01 1.684998923e+05 5.281096415e+04
2.154434690e+11 1.527005755e-02 4.905425342e-03 7.742636827e-02 1.684998923e+05 5.281096415e+04
2.154434690e+11 1.464344537e-02 4.806227597e-03 2.782559402e-02 1.684998931e+05 4.454819125e+04
2.154434690e+11 1.457283297e-02 5.147091436e-03 1.000000000e-02 1.684998931e+05 4.454819125e+04
4.641588834e+11 2.049387369e-02 3.800077761e-03 1.000000000e+02 2.958056435e+05 1.157554059e+06
4.641588834e+11 2.036543799e-02 3.840266788e-03 3.593813664e+01 2.958056435e+05 1.157554059e+06
